timestamp (seconds since 01/01/1970), system, entity , value (m)
1652101059.924196, lauv-thor, 62, 0.567446
1652101059.925768, lauv-thor, 62, 0.567446
1652101060.123106, lauv-thor, 62, 0.555563
1652101060.124758, lauv-thor, 62, 0.555563
1652101060.314270, lauv-thor, 62, 0.548630
1652101060.315894, lauv-thor, 62, 0.548630
1652101060.383252, lauv-thor, 73, 0.626752
1652101060.523873, lauv-thor, 62, 0.543679
1652101060.525558, lauv-thor, 62, 0.543679
1652101060.722794, lauv-thor, 62, 0.536747
1652101060.724432, lauv-thor, 62, 0.536747
1652101060.932422, lauv-thor, 62, 0.533776
1652101060.934184, lauv-thor, 62, 0.533776
1652101061.132016, lauv-thor, 62, 0.522882
1652101061.134019, lauv-thor, 62, 0.522882
1652101061.330451, lauv-thor, 62, 0.527834
1652101061.332242, lauv-thor, 62, 0.527834
1652101061.383067, lauv-thor, 73, 0.626752
1652101061.531452, lauv-thor, 62, 0.537737
1652101061.533319, lauv-thor, 62, 0.537737
1652101061.730206, lauv-thor, 62, 0.545660
1652101061.731978, lauv-thor, 62, 0.545660
1652101061.930396, lauv-thor, 62, 0.553582
1652101061.932049, lauv-thor, 62, 0.553582
1652101062.131538, lauv-thor, 62, 0.564475
1652101062.133262, lauv-thor, 62, 0.564475
1652101062.333027, lauv-thor, 62, 0.573388
1652101062.335320, lauv-thor, 62, 0.573388
1652101062.383502, lauv-thor, 73, 0.656598
1652101062.530397, lauv-thor, 62, 0.574378
1652101062.533058, lauv-thor, 62, 0.574378
1652101062.732285, lauv-thor, 62, 0.580320
1652101062.734050, lauv-thor, 62, 0.580320
1652101062.931570, lauv-thor, 62, 0.583291
1652101062.933300, lauv-thor, 62, 0.583291
1652101063.130441, lauv-thor, 62, 0.584281
1652101063.132219, lauv-thor, 62, 0.584281
1652101063.329324, lauv-thor, 62, 0.597155
1652101063.330916, lauv-thor, 62, 0.597155
1652101063.382882, lauv-thor, 73, 0.686443
1652101063.531242, lauv-thor, 62, 0.607058
1652101063.533042, lauv-thor, 62, 0.607058
1652101063.731292, lauv-thor, 62, 0.607058
1652101063.733063, lauv-thor, 62, 0.607058
1652101063.931398, lauv-thor, 62, 0.614981
1652101063.932991, lauv-thor, 62, 0.614981
1652101064.129333, lauv-thor, 62, 0.607058
1652101064.131066, lauv-thor, 62, 0.607058
1652101064.331453, lauv-thor, 62, 0.609039
1652101064.333083, lauv-thor, 62, 0.609039
1652101064.382924, lauv-thor, 73, 0.696392
1652101064.539038, lauv-thor, 62, 0.614981
1652101064.539784, lauv-thor, 62, 0.614981
1652101064.730510, lauv-thor, 62, 0.615971
1652101064.732319, lauv-thor, 62, 0.615971
1652101064.928227, lauv-thor, 62, 0.624884
1652101064.929776, lauv-thor, 62, 0.624884
1652101065.128913, lauv-thor, 62, 0.612010
1652101065.130670, lauv-thor, 62, 0.612010
1652101065.329650, lauv-thor, 62, 0.614981
1652101065.331286, lauv-thor, 62, 0.614981
1652101065.383859, lauv-thor, 73, 0.696392
1652101065.533394, lauv-thor, 62, 0.617952
1652101065.535312, lauv-thor, 62, 0.617952
1652101065.731192, lauv-thor, 62, 0.614981
1652101065.733058, lauv-thor, 62, 0.614981
1652101065.930307, lauv-thor, 62, 0.618942
1652101065.931976, lauv-thor, 62, 0.618942
1652101066.132259, lauv-thor, 62, 0.613000
1652101066.134130, lauv-thor, 62, 0.613000
1652101066.332496, lauv-thor, 62, 0.606068
1652101066.334648, lauv-thor, 62, 0.606068
1652101066.383315, lauv-thor, 73, 0.686443
1652101066.531363, lauv-thor, 62, 0.607058
1652101066.533095, lauv-thor, 62, 0.607058
1652101066.729441, lauv-thor, 62, 0.610029
1652101066.731186, lauv-thor, 62, 0.610029
1652101066.932761, lauv-thor, 62, 0.615971
1652101066.934509, lauv-thor, 62, 0.615971
1652101067.133239, lauv-thor, 62, 0.599136
1652101067.135238, lauv-thor, 62, 0.599136
1652101067.331807, lauv-thor, 62, 0.598146
1652101067.333632, lauv-thor, 62, 0.598146
1652101067.383306, lauv-thor, 73, 0.676495
1652101067.532090, lauv-thor, 62, 0.597155
1652101067.533762, lauv-thor, 62, 0.597155
1652101067.732300, lauv-thor, 62, 0.601117
1652101067.734013, lauv-thor, 62, 0.601117
1652101067.929710, lauv-thor, 62, 0.601117
1652101067.931468, lauv-thor, 62, 0.601117
1652101068.132888, lauv-thor, 62, 0.597155
1652101068.135299, lauv-thor, 62, 0.597155
1652101068.330733, lauv-thor, 62, 0.596165
1652101068.332537, lauv-thor, 62, 0.596165
1652101068.383071, lauv-thor, 73, 0.676495
1652101068.532539, lauv-thor, 62, 0.605078
1652101068.535334, lauv-thor, 62, 0.605078
1652101068.731216, lauv-thor, 62, 0.592204
1652101068.732864, lauv-thor, 62, 0.592204
1652101068.932500, lauv-thor, 62, 0.606068
1652101068.934123, lauv-thor, 62, 0.606068
1652101069.132524, lauv-thor, 62, 0.606068
1652101069.134346, lauv-thor, 62, 0.606068
1652101069.328700, lauv-thor, 62, 0.609039
1652101069.330373, lauv-thor, 62, 0.609039
1652101069.382755, lauv-thor, 73, 0.686443
1652101069.530907, lauv-thor, 62, 0.607058
1652101069.532500, lauv-thor, 62, 0.607058
1652101069.732577, lauv-thor, 62, 0.611020
1652101069.734194, lauv-thor, 62, 0.611020
1652101069.929352, lauv-thor, 62, 0.618942
1652101069.930896, lauv-thor, 62, 0.618942
1652101070.129409, lauv-thor, 62, 0.601117
1652101070.131187, lauv-thor, 62, 0.601117
1652101070.332343, lauv-thor, 62, 0.604088
1652101070.334187, lauv-thor, 62, 0.604088
1652101070.382157, lauv-thor, 73, 0.676495
1652101070.533227, lauv-thor, 62, 0.608049
1652101070.535353, lauv-thor, 62, 0.608049
1652101070.732362, lauv-thor, 62, 0.606068
1652101070.734144, lauv-thor, 62, 0.606068
1652101070.929884, lauv-thor, 62, 0.604088
1652101070.931670, lauv-thor, 62, 0.604088
1652101071.130910, lauv-thor, 62, 0.595175
1652101071.132641, lauv-thor, 62, 0.595175
1652101071.332460, lauv-thor, 62, 0.590223
1652101071.334136, lauv-thor, 62, 0.590223
1652101071.382207, lauv-thor, 73, 0.656598
1652101071.531082, lauv-thor, 62, 0.585272
1652101071.533166, lauv-thor, 62, 0.585272
1652101071.733391, lauv-thor, 62, 0.580320
1652101071.735197, lauv-thor, 62, 0.580320
1652101071.931826, lauv-thor, 62, 0.598146
1652101071.933734, lauv-thor, 62, 0.598146
1652101072.129268, lauv-thor, 62, 0.583291
1652101072.130859, lauv-thor, 62, 0.583291
1652101072.328205, lauv-thor, 62, 0.584281
1652101072.329847, lauv-thor, 62, 0.584281
1652101072.381899, lauv-thor, 73, 0.646649
1652101072.530424, lauv-thor, 62, 0.577349
1652101072.532196, lauv-thor, 62, 0.577349
1652101072.729830, lauv-thor, 62, 0.574378
1652101072.731741, lauv-thor, 62, 0.574378
1652101072.929627, lauv-thor, 62, 0.584281
1652101072.931371, lauv-thor, 62, 0.584281
1652101073.130053, lauv-thor, 62, 0.570417
1652101073.131779, lauv-thor, 62, 0.570417
1652101073.331076, lauv-thor, 62, 0.569427
1652101073.332813, lauv-thor, 62, 0.569427
1652101073.381824, lauv-thor, 73, 0.626752
1652101073.529829, lauv-thor, 62, 0.557543
1652101073.531438, lauv-thor, 62, 0.557543
1652101073.731007, lauv-thor, 62, 0.556553
1652101073.733045, lauv-thor, 62, 0.556553
1652101073.930649, lauv-thor, 62, 0.563485
1652101073.932406, lauv-thor, 62, 0.563485
1652101074.121000, lauv-thor, 62, 0.559524
1652101074.122777, lauv-thor, 62, 0.559524
1652101074.330781, lauv-thor, 62, 0.560514
1652101074.332504, lauv-thor, 62, 0.560514
1652101074.382374, lauv-thor, 73, 0.636701
1652101074.532233, lauv-thor, 62, 0.569427
1652101074.534217, lauv-thor, 62, 0.569427
1652101074.729700, lauv-thor, 62, 0.559524
1652101074.731308, lauv-thor, 62, 0.559524
1652101074.932188, lauv-thor, 62, 0.560514
1652101074.934042, lauv-thor, 62, 0.560514
1652101075.134034, lauv-thor, 62, 0.552592
1652101075.135565, lauv-thor, 62, 0.552592
1652101075.329899, lauv-thor, 62, 0.559524
1652101075.331685, lauv-thor, 62, 0.559524
1652101075.382037, lauv-thor, 73, 0.626752
1652101075.531058, lauv-thor, 62, 0.558533
1652101075.533069, lauv-thor, 62, 0.558533
1652101075.731041, lauv-thor, 62, 0.556553
1652101075.733037, lauv-thor, 62, 0.556553
1652101075.929333, lauv-thor, 62, 0.567446
1652101075.931011, lauv-thor, 62, 0.567446
